Назва фільму,Рік випуску,Rate IMDB,Rate Metacritic,Budget,Касові збори
Memory student fly as everyone.,2017,2.9,50.9,82615915.3,113219229.21
Item picture street society past a kind.,2002,8.1,68.9,1525217.82,362353369.33
Matter third carry throughout site.,2017,6.4,92.8,69060694.02,338962427.82
True ability resource pay.,2004,3.5,79.6,46976490.71,384444560.56
Less level never audience person anyone.,2011,7.3,48.8,10004885.4,270551233.96
Throughout sort idea serious food feel help.,2002,8.9,8.0,21425639.64,164898064.78
How possible collection. Move before only.,1957,4.3,90.4,46890487.48,129239238.22
Fire evening daughter bag.,2001,8.2,68.3,51454079.98,108237034.81
Performance issue gun major.,1991,7.3,46.8,59687110.8,271883743.17
Dinner gas give available expert result.,1989,7.5,90.9,44703035.26,383851037.94
Lot account state stay health.,1971,1.7,52.1,90058066.23,284965552.42
Couple catch society test.,2005,9.9,56.8,67169608.53,172498697.92
Value fund heart can beyond us.,1966,7.3,21.1,10727017.02,121362978.47
Choose statement side.,1984,3.7,15.0,84914862.35,135611085.76
Knowledge cost her responsibility music so Mr.,2001,6.1,18.0,95241373.13,435029908.73
Community just direction yeah.,1971,8.4,94.3,19921239.2,445643625.56
Consider challenge line region eat oil.,1950,6.7,73.7,38607304.84,386827931.28
Collection second weight say meeting crime eat.,2009,1.4,23.2,63396947.38,137038718.62
Page other although myself individual tell.,2004,7.5,34.0,56856368.91,107412355.58
Smile use their man our far.,1987,2.5,93.5,53603734.44,81546729.46
Simply theory north end continue traditional.,1968,3.6,89.6,34868816.75,156451421.47
Education collection thousand director according.,1965,6.0,17.9,53006378.35,246135985.58
Computer bring feel Mr white you.,1993,5.2,82.7,71461051.73,186073972.84
Nice term wife pay college green.,1983,5.5,76.7,82207680.79,50638410.04
Process word long. Either dog role cause yeah.,1975,5.5,77.2,81209529.04,363770659.05
Face move oil certainly fly painting so north.,1963,8.8,85.0,10805819.54,446711032.89
Happy later only officer I.,1957,5.8,32.1,15108667.7,291846029.12
Yeah purpose meeting other. Trade up that.,1968,4.8,64.3,5792094.77,408433334.36
Return strategy her station kid.,1962,2.4,98.6,97479064.99,486038612.66
Fund chance adult family trial final road.,2000,6.8,86.1,77413257.93,413760711.42
Real try four party mention sign degree.,1989,4.1,38.9,55737533.89,270875402.23
Between throw also final difficult kid.,1985,8.6,35.1,89744672.12,57659840.71
Foreign pretty activity west style again.,1991,5.2,75.6,54808921.34,34822952.66
Us character how begin simply.,1952,8.1,82.9,7761031.94,320297683.52
Fear top available yet occur.,2017,7.9,45.8,18959722.69,76846312.79
Pass five up race have read.,1960,1.5,46.6,34129217.11,276038095.3
Reflect include morning. Goal young three send.,1977,3.1,78.0,25479676.3,119695345.98
Whose figure exactly stuff one someone.,2004,2.8,10.6,55936263.69,493376346.41
Early economy form happen summer stand.,2010,4.0,38.9,52404418.65,423244051.12
Life under against woman. On sure happy bar her.,1990,8.6,68.4,40052101.28,348324271.37
Red guy apply product commercial civil.,1979,4.4,49.4,51804162.18,38726821.67
Scene research drop some radio say order.,2007,7.7,20.2,77576102.82,113579427.97
Suggest country right top avoid total several.,2007,6.4,76.9,56887739.09,220767726.05
Rock prevent represent citizen real particular.,2020,4.9,38.2,93323663.68,326083500.53
Natural west bed during and.,1978,9.1,59.5,5747492.82,427898478.03
Name good huge huge point will standard.,1962,6.5,32.8,44258702.21,10562162.31
As be entire ok impact our.,1973,3.8,28.1,39395217.29,201366003.04
Clear movie kitchen father maybe.,1988,3.1,77.8,47474056.45,162831972.57
Somebody force record alone experience.,1954,3.3,43.5,2606767.66,328935349.17
Million white step state thing again high.,2013,5.2,11.6,99211199.29,473392493.35
Design thought risk media sure ago.,1977,5.2,81.9,20610299.33,378631971.51
Group high play magazine.,2007,9.5,92.7,3059412.0,276930957.79
Test probably provide gun artist order finally.,1990,5.7,90.9,93340523.04,407809104.87
Yourself adult technology baby reach attack into.,1982,6.5,95.8,7757711.98,276194681.04
Event decide task tell bank instead.,1977,6.5,35.7,94412355.79,491725107.15
Main interview production concern face material.,2003,2.9,10.4,76739501.16,35111223.93
Each his once ahead price.,2004,9.1,92.6,69706087.78,117243548.37
Commercial cell physical second wrong.,2004,2.5,14.1,72272590.16,23498838.81
Police peace candidate kind.,2016,4.2,91.2,36625370.73,493484433.93
Former treat still future now.,1999,9.4,15.6,56586075.67,62822060.03
